latency_cycles, datasize, seal
29324.000000,1,true
29324.000000,1,true
29326.000000,1,true
29334.000000,1,true
29336.000000,1,true
29338.000000,1,true
29342.000000,1,true
29344.000000,1,true
29346.000000,1,true
29348.000000,1,true
29348.000000,1,true
29348.000000,1,true
29350.000000,1,true
29352.000000,1,true
29356.000000,1,true
29358.000000,1,true
29358.000000,1,true
29360.000000,1,true
29360.000000,1,true
29360.000000,1,true
29360.000000,1,true
29366.000000,1,true
29366.000000,1,true
29372.000000,1,true
29372.000000,1,true
29372.000000,1,true
29376.000000,1,true
29376.000000,1,true
29378.000000,1,true
29378.000000,1,true
29380.000000,1,true
29384.000000,1,true
29384.000000,1,true
29386.000000,1,true
29388.000000,1,true
29390.000000,1,true
29390.000000,1,true
29392.000000,1,true
29392.000000,1,true
29392.000000,1,true
29394.000000,1,true
29394.000000,1,true
29394.000000,1,true
29394.000000,1,true
29394.000000,1,true
29396.000000,1,true
29396.000000,1,true
29396.000000,1,true
29396.000000,1,true
29402.000000,1,true
29404.000000,1,true
29406.000000,1,true
29406.000000,1,true
29406.000000,1,true
29406.000000,1,true
29408.000000,1,true
29410.000000,1,true
29410.000000,1,true
29410.000000,1,true
29410.000000,1,true
29412.000000,1,true
29412.000000,1,true
29412.000000,1,true
29416.000000,1,true
29418.000000,1,true
29418.000000,1,true
29420.000000,1,true
29422.000000,1,true
29422.000000,1,true
29422.000000,1,true
29422.000000,1,true
29422.000000,1,true
29424.000000,1,true
29426.000000,1,true
29428.000000,1,true
29428.000000,1,true
29430.000000,1,true
29430.000000,1,true
29432.000000,1,true
29432.000000,1,true
29432.000000,1,true
29438.000000,1,true
29438.000000,1,true
29438.000000,1,true
29438.000000,1,true
29440.000000,1,true
29440.000000,1,true
29440.000000,1,true
29444.000000,1,true
29446.000000,1,true
29446.000000,1,true
29446.000000,1,true
29448.000000,1,true
29450.000000,1,true
29450.000000,1,true
29450.000000,1,true
29450.000000,1,true
29454.000000,1,true
29454.000000,1,true
29454.000000,1,true
29454.000000,1,true
29458.000000,1,true
29460.000000,1,true
29460.000000,1,true
29462.000000,1,true
29462.000000,1,true
29464.000000,1,true
29464.000000,1,true
29466.000000,1,true
29466.000000,1,true
29470.000000,1,true
29472.000000,1,true
29472.000000,1,true
29472.000000,1,true
29474.000000,1,true
29474.000000,1,true
29476.000000,1,true
29476.000000,1,true
29478.000000,1,true
29478.000000,1,true
29478.000000,1,true
29480.000000,1,true
29482.000000,1,true
29482.000000,1,true
29482.000000,1,true
29482.000000,1,true
29482.000000,1,true
29484.000000,1,true
29484.000000,1,true
29486.000000,1,true
29492.000000,1,true
29492.000000,1,true
29492.000000,1,true
29492.000000,1,true
29494.000000,1,true
29494.000000,1,true
29494.000000,1,true
29494.000000,1,true
29494.000000,1,true
29496.000000,1,true
29496.000000,1,true
29496.000000,1,true
29498.000000,1,true
29498.000000,1,true
29500.000000,1,true
29502.000000,1,true
29502.000000,1,true
29502.000000,1,true
29504.000000,1,true
29506.000000,1,true
29506.000000,1,true
29508.000000,1,true
29508.000000,1,true
29508.000000,1,true
29510.000000,1,true
29510.000000,1,true
29512.000000,1,true
29514.000000,1,true
29514.000000,1,true
29518.000000,1,true
29518.000000,1,true
29518.000000,1,true
29518.000000,1,true
29520.000000,1,true
29522.000000,1,true
29522.000000,1,true
29522.000000,1,true
29524.000000,1,true
29524.000000,1,true
29524.000000,1,true
29526.000000,1,true
29528.000000,1,true
29528.000000,1,true
29528.000000,1,true
29530.000000,1,true
29530.000000,1,true
29532.000000,1,true
29532.000000,1,true
29532.000000,1,true
29532.000000,1,true
29536.000000,1,true
29536.000000,1,true
29538.000000,1,true
29538.000000,1,true
29538.000000,1,true
29538.000000,1,true
29538.000000,1,true
29540.000000,1,true
29540.000000,1,true
29542.000000,1,true
29542.000000,1,true
29542.000000,1,true
29542.000000,1,true
29544.000000,1,true
29544.000000,1,true
29544.000000,1,true
29544.000000,1,true
29548.000000,1,true
29548.000000,1,true
29550.000000,1,true
29550.000000,1,true
29550.000000,1,true
29552.000000,1,true
29552.000000,1,true
29554.000000,1,true
29554.000000,1,true
29554.000000,1,true
29556.000000,1,true
29556.000000,1,true
29560.000000,1,true
29562.000000,1,true
29564.000000,1,true
29564.000000,1,true
29564.000000,1,true
29564.000000,1,true
29566.000000,1,true
29566.000000,1,true
29566.000000,1,true
29566.000000,1,true
29568.000000,1,true
29568.000000,1,true
29568.000000,1,true
29570.000000,1,true
29570.000000,1,true
29570.000000,1,true
29572.000000,1,true
29572.000000,1,true
29576.000000,1,true
29576.000000,1,true
29580.000000,1,true
29580.000000,1,true
29580.000000,1,true
29582.000000,1,true
29582.000000,1,true
29586.000000,1,true
29588.000000,1,true
29588.000000,1,true
29590.000000,1,true
29590.000000,1,true
29590.000000,1,true
29592.000000,1,true
29594.000000,1,true
29596.000000,1,true
29598.000000,1,true
29598.000000,1,true
29598.000000,1,true
29598.000000,1,true
29598.000000,1,true
29600.000000,1,true
29602.000000,1,true
29602.000000,1,true
29602.000000,1,true
29604.000000,1,true
29606.000000,1,true
29608.000000,1,true
29610.000000,1,true
29610.000000,1,true
29610.000000,1,true
29610.000000,1,true
29612.000000,1,true
29616.000000,1,true
29616.000000,1,true
29618.000000,1,true
29618.000000,1,true
29618.000000,1,true
29620.000000,1,true
29620.000000,1,true
29622.000000,1,true
29622.000000,1,true
29622.000000,1,true
29624.000000,1,true
29624.000000,1,true
29626.000000,1,true
29626.000000,1,true
29628.000000,1,true
29628.000000,1,true
29628.000000,1,true
29628.000000,1,true
29632.000000,1,true
29634.000000,1,true
29634.000000,1,true
29634.000000,1,true
29634.000000,1,true
29636.000000,1,true
29638.000000,1,true
29638.000000,1,true
29640.000000,1,true
29640.000000,1,true
29640.000000,1,true
29642.000000,1,true
29642.000000,1,true
29646.000000,1,true
29646.000000,1,true
29648.000000,1,true
29648.000000,1,true
29648.000000,1,true
29648.000000,1,true
29650.000000,1,true
29656.000000,1,true
29656.000000,1,true
29660.000000,1,true
29662.000000,1,true
29664.000000,1,true
29664.000000,1,true
29664.000000,1,true
29666.000000,1,true
29666.000000,1,true
29668.000000,1,true
29670.000000,1,true
29672.000000,1,true
29674.000000,1,true
29676.000000,1,true
29678.000000,1,true
29678.000000,1,true
29678.000000,1,true
29678.000000,1,true
29678.000000,1,true
29680.000000,1,true
29682.000000,1,true
29682.000000,1,true
29682.000000,1,true
29684.000000,1,true
29684.000000,1,true
29686.000000,1,true
29686.000000,1,true
29686.000000,1,true
29688.000000,1,true
29688.000000,1,true
29688.000000,1,true
29688.000000,1,true
29688.000000,1,true
29690.000000,1,true
29690.000000,1,true
29690.000000,1,true
29692.000000,1,true
29696.000000,1,true
29696.000000,1,true
29698.000000,1,true
29700.000000,1,true
29702.000000,1,true
29702.000000,1,true
29704.000000,1,true
29704.000000,1,true
29704.000000,1,true
29704.000000,1,true
29706.000000,1,true
29706.000000,1,true
29706.000000,1,true
29706.000000,1,true
29710.000000,1,true
29710.000000,1,true
29710.000000,1,true
29712.000000,1,true
29712.000000,1,true
29712.000000,1,true
29712.000000,1,true
29712.000000,1,true
29712.000000,1,true
29714.000000,1,true
29714.000000,1,true
29714.000000,1,true
29716.000000,1,true
29716.000000,1,true
29716.000000,1,true
29718.000000,1,true
29722.000000,1,true
29722.000000,1,true
29722.000000,1,true
29722.000000,1,true
29722.000000,1,true
29722.000000,1,true
29722.000000,1,true
29722.000000,1,true
29724.000000,1,true
29726.000000,1,true
29726.000000,1,true
29728.000000,1,true
29730.000000,1,true
29730.000000,1,true
29730.000000,1,true
29730.000000,1,true
29732.000000,1,true
29732.000000,1,true
29732.000000,1,true
29734.000000,1,true
29734.000000,1,true
29736.000000,1,true
29736.000000,1,true
29738.000000,1,true
29738.000000,1,true
29738.000000,1,true
29740.000000,1,true
29740.000000,1,true
29746.000000,1,true
29746.000000,1,true
29748.000000,1,true
29748.000000,1,true
29748.000000,1,true
